ENTREZID,ENSEMBL
17927,ENSMUSG00000009471
100952,ENSMUSG00000029163
20666,ENSMUSG00000063632
20324,ENSMUSG00000045954
27528,ENSMUSG00000042834
20257,ENSMUSG00000027500
20356,ENSMUSG00000022231
26968,ENSMUSG00000037206
17069,ENSMUSG00000022587
12834,ENSMUSG00000020241
76088,ENSMUSG00000052085
23892,ENSMUSG00000074934
16011,ENSMUSG00000026185
14264,ENSMUSG00000041559
18295,ENSMUSG00000021390
319944,ENSMUSG00000037343
18630,ENSMUSG00000035395
16956,ENSMUSG00000015568
12837,ENSMUSG00000068196
56047,ENSMUSG00000063011
11830,ENSMUSG00000044217
23893,ENSMUSG00000050069
12443,ENSMUSG00000070348
14677,ENSMUSG00000057614
209558,ENSMUSG00000019989
16997,ENSMUSG00000002020
112407,ENSMUSG00000035105
17112,ENSMUSG00000027800
68537,ENSMUSG00000022370
15213,ENSMUSG00000040289
170439,ENSMUSG00000041220
26879,ENSMUSG00000043300
12349,ENSMUSG00000027562
17390,ENSMUSG00000031740
53945,ENSMUSG00000025993
17388,ENSMUSG00000031790
54324,ENSMUSG00000033542
13371,ENSMUSG00000007682
20361,ENSMUSG00000038264
225207,ENSMUSG00000024420
13393,ENSMUSG00000001510
105837,ENSMUSG00000022369
16373,ENSMUSG00000031734
14062,ENSMUSG00000048376
100043314,ENSMUSG00000071552
100515,ENSMUSG00000046572
208076,ENSMUSG00000035934
17877,ENSMUSG00000000435
16777,ENSMUSG00000002900
666048,ENSMUSG00000070867
17132,ENSMUSG00000055435
381413,ENSMUSG00000040133
75577,ENSMUSG00000024512
213417,ENSMUSG00000042115
66695,ENSMUSG00000021388
239691,ENSMUSG00000051669
434128,ENSMUSG00000070802
54635,ENSMUSG00000028019
260299,ENSMUSG00000054793
226999,ENSMUSG00000026062
16597,ENSMUSG00000072294
24066,ENSMUSG00000024427
13346,ENSMUSG00000026208
114886,ENSMUSG00000020810
20349,ENSMUSG00000063531
21824,ENSMUSG00000074743
16010,ENSMUSG00000017493
111241,ENSMUSG00000078249
26422,ENSMUSG00000027799
63955,ENSMUSG00000040957
107765,ENSMUSG00000024803
16177,ENSMUSG00000026072
14313,ENSMUSG00000021765
17313,ENSMUSG00000030218
382571,ENSMUSG00000051726
66643,ENSMUSG00000047786
76142,ENSMUSG00000040653
229706,ENSMUSG00000027894
